Casualty,Year,LONGITUDE,LATITUDE
1,2016,144.2934584,-37.51540086
1,2016,145.1243611,-37.78472569
1,2016,145.2602078,-38.48458976
1,2016,145.3778594,-37.86892912
1,2016,144.5865986,-36.0638858
1,2016,145.3355975,-38.07451155
1,2016,141.7874889,-34.27674659
1,2016,144.9610352,-37.79170625
1,2016,145.1407521,-37.87927562
1,2016,147.2770156,-36.18274658
1,2016,145.1579604,-37.02329012
1,2016,145.1643189,-36.82018411
1,2016,144.9365386,-37.57306078
1,2016,144.9839283,-37.80058445
1,2016,144.9509217,-37.30257825
1,2016,142.1980579,-36.75026605
1,2016,144.9570774,-37.81937293
1,2016,146.9945085,-37.92595019
1,2016,143.7991936,-37.62098476
1,2016,145.0338164,-37.88574502
1,2016,145.27556,-37.88314451
1,2016,145.2598825,-37.87228225
1,2016,144.9681222,-37.64590221
1,2016,145.1982105,-37.83854018
1,2016,144.9517933,-37.64556276
1,2016,145.0922863,-37.77483176
1,2016,146.8959149,-36.10594181
1,2016,145.1071916,-38.01622428
1,2016,145.1310133,-37.57990204
1,2016,145.1265572,-37.88883971
1,2016,145.2350436,-37.86917868
1,2016,145.0089636,-38.29460405
1,2016,145.0692913,-37.92246598
1,2016,145.0798405,-37.74361234
1,2016,144.8878466,-37.79685935
1,2016,144.3160035,-36.70628621
1,2016,144.9198863,-37.71633157
1,2016,144.2923287,-36.76144187
1,2016,145.046129,-37.88727302
1,2016,145.3236646,-37.86732569
1,2016,143.7215599,-38.62667356
1,2016,146.5334479,-38.19461684
1,2016,144.8034474,-37.71541327
1,2016,144.9783999,-37.86840816
1,2016,144.7388291,-37.34124903
1,2016,145.0333713,-38.22344826
1,2016,145.306957,-37.80723953
1,2016,144.7899179,-37.72776248
1,2016,142.1543775,-34.20023418
1,2016,145.6652142,-36.93213658
1,2016,145.1532648,-37.94968547
1,2016,145.0179388,-37.65536257
1,2016,144.7300269,-37.86965103
1,2016,145.4976805,-38.21528449
