location,url,fulladdress,bedrooms,bathrooms,parkingSpaces,studies,image_url,house_type,latitude,longitude,coordinates,buy_price,type,price tag
"181 ABeckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-studio-vic-melbourne-140627311,"304/181 ABeckett Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/2fd91a352585470d72ffa7065ef6eec7bf20cb6a193275ef81200939b7c12f70/image.jpg,Studio,-38.1171539,145.1489982,"(145.1489982, -38.1171539)",208500,buy,"$199,000 - $218,000"
"120 Abeckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140494111,"3005/120 Abeckett Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/09624c0e2a20a642476fe9fd89fc8b6a976ee0c0de068b6103662ec92094969c/image.jpg,Apartment,-38.1171539,145.1489982,"(145.1489982, -38.1171539)",560000,buy,"$540,000 - $580,000"
"120 A’Beckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140494095,"1107/120 A’Beckett Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/83dc6c4cd3e4bc9b48ab805e84a4a1b2bc26fcfd805038941e0d973c4a800dcd/image.jpg,Apartment,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",352500,buy,"$345,000 - $360,000"
"555 Flinders Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140126883,"1215/555 Flinders Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/880d847b63f1b96306b4820156d4a645cc9ef5104d0d9b2e43abdd3501e9ffe8/image.jpg,Apartment,-37.82096345,144.9564841,"(144.9564841079254, -37.82096345)",640000,buy,640000 
"172 William Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140493103,"104/172 William Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/b7b20879dcfacec03ac4a17e16b7f30584839946a59d88551ce374878494f6ea/image.jpg,Apartment,-37.8149908,144.9582123,"(144.9582123, -37.8149908)",355000,buy,355000 
"25 Wills Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140247299,"109/25 Wills Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/4bbf3bf261c09417a34928b7fb87e46e49cc2b7476c623ae868cd5792bd2b7b0/image.jpg,Apartment,-37.8107145,144.9571233,"(144.9571233, -37.8107145)",294000,buy,"$280,000 - $308,000"
"31 Spring Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139497939,"606/31 Spring Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/0fe923d40fa283fdd1709a1e91d876ca9fec87fdd5d9a4730a7effa85c02971f/image.jpg,Apartment,-37.8145494,144.9741154,"(144.97411540000002, -37.814549400000004)",499000,buy,"Private Sale $499,000"
"568 Collins Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140373827,"3905/568 Collins Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/0aa2b950a1b284eda2672db5a0813ce88721d079caaada2a5c10d4ccb1315a72/image.jpg,Apartment,-37.81835585,144.9554293,"(144.95542933144475, -37.81835585)",512000,buy,"$488,000 - $536,000"
"560 Lonsdale Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140373423,"1210/560 Lonsdale Street, Melbourne, Vic 3000",3,2,1,0,https://i2.au.reastatic.net/{size}/a7e6c81fb0438accf7ecd75f23569330faa84d335fa1d618cd308efec9dce8c0/image.jpg,Apartment,-37.8137367,144.9556294,"(144.95562942986624, -37.8137367)",1110000,buy,"$1,100,000 - $1,120,000"
"568 Collins Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140246199,"6104/568 Collins Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/e4cb2d94d536de8ec16f24bffb7b1649fd9ca9e830daf496de1edd44a3a065bd/image.jpg,Apartment,-37.81835585,144.9554293,"(144.95542933144475, -37.81835585)",555000,buy,"$545,000 to $565,000"
