location,url,fulladdress,bedrooms,bathrooms,parkingSpaces,studies,image_url,house_type,latitude,longitude,coordinates,buy_price,type,price tag
"182 Collins Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-131495106,"805/182 Collins Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/51836cf72c1df01f22eb4809def9a06f1129af200a5dfef25d714548b520b470/image.jpg,Apartment,-37.8146876,144.9674253,"(144.9674253, -37.8146876)",500000,buy,"$490,000 - $510,000"
"250 Spencer Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-132538506,"4708D/250 Spencer Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/46e69c66b2ae1fb0c3145382f9592f56f32c040662b3778340dfb3165fdf1d4e/image.jpg,Apartment,-37.8131357,144.95151,"(144.95151, -37.8131357)",674500,buy,"$650,000-$699,000"
"585 La Trobe Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139691975,"405/585 La Trobe Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/e6fd686287cf8f25d8f7f3f45cba35a23e1953723d6805acd3fbba09816f1b83/image.jpg,Apartment,-37.8132804,144.9517693,"(144.9517693, -37.8132804)",195000,buy,195000 
"199 William Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140308579,"1410/199 William Street, Melbourne, Vic 3000",2,2,1,1,https://i2.au.reastatic.net/{size}/c8d083595a3dbbf9f8fff1ed8285ba9287f7c48a9e505b580503fbfc6f25b41c/image.jpg,Apartment,-37.8115568,144.9564297,"(144.9564297, -37.8115568)",637500,buy,"$625,000 - $650,000"
"327 La Trobe Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-138618615,"1402/327 La Trobe Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/4c466420ccff0bbbaba741044b2e6b74c1fce3d7d3800ebcb2864f12999dba4c/image.jpg,Apartment,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",405000,buy,"$395,000-$415,000"
"220 Spencer Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-133805718,"2313/220 Spencer Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/864641e9fafdc0a63a0729e312c38405c763fd7b8472893ec8223074079ecce0/image.jpg,Apartment,-37.815983,144.952991,"(144.952991, -37.815983)",570000,buy,"$565,000 - $575,000"
"23 MACKENZIE ST, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-137963814,"23 MACKENZIE ST, Melbourne, Vic 3000",2,2,2,0,https://i2.au.reastatic.net/{size}/85ee8907b8d3ffbdfca942d7c061edac6dad806082c532a40a745a026ae96bb5/image.jpg,Apartment,-37.807427,144.9671085,"(144.9671085, -37.807427)",1119000,buy,1119000 
"315 La Trobe Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-129848174,"2603/315 La Trobe Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/05437605a455eaf7cdc04c72ed8194aee92915bbdeca54ad7f9f7da28c8efa20/image.jpg,Apartment,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",525000,buy,"$500,000 - $550,000"
"433 Collins Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139675815,"2902/433 Collins Street, Melbourne, Vic 3000",3,2,2,0,https://i2.au.reastatic.net/{size}/e99a919658f2dd512c386c8e191e891f696747b6d9662be6cb6f62ad38649625/image.jpg,Apartment,-37.815886,144.9652908,"(144.9652908, -37.815886)",2350000,buy,2350000 
"568 Collins Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-137779514,"3102/568 Collins Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/1d08d56d10df97c4265d2c27433736b4f5c79902616292730b814e0136f71540/image.jpg,Apartment,-37.81835585,144.9554293,"(144.95542933144475, -37.81835585)",540000,buy,"$530,000-$550,000"
"315 La Trobe Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-135600802,"201/315 La Trobe Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/6fc298c18b3cee3dc0cd20e78d7f97dee94685627c0796c7920112b0a2a188d1/image.jpg,Apartment,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",380000,buy,380000 
"591-593 Elizabeth Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-studio-vic-melbourne-140530815,"405/591-593 Elizabeth Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/6703ade16addb410ab749794aa4c743ad925a8a9bb2507819682667981333176/image.jpg,Studio,-37.8103786,144.9613079,"(144.9613079, -37.8103786)",150000,buy,150000 
"568 Collins Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139037827,"5409/568 Collins Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/384fb93e585067e977b94f32865260b00ce9be3f1398c1d58d75fedb6f5bb1f7/image.jpg,Apartment,-37.81835585,144.9554293,"(144.95542933144475, -37.81835585)",358000,buy,"$348,000 - $368,000"
"120 A'beckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-138216246,"2811/120 A'beckett Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/0ee7e99718b9ac16d9055a91281718fbfe0a9346982271b46ce2aa477571ed90/image.jpg,Apartment,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",650000,buy,650000 
"299 Queen Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139287347,"153/299 Queen Street, Melbourne, Vic 3000",4,3,2,0,https://i2.au.reastatic.net/{size}/29df0f844ad6bdcf17dbfe5f37ca763452210861e1c3f9a2c31c0fd63d161954/image.jpg,Apartment,-37.8113548,144.9588337,"(144.9588337, -37.8113548)",3200000,buy,3200000 
"618 Lonsdale Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-136254230,"2303/618 Lonsdale Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/c49059aaf54ef31af71b04538c2fb6f0e4be9559e8b7e29d5b9c39b5ec5e910f/image.jpg,Apartment,-37.8123833,144.9620705,"(144.9620705, -37.8123833)",650000,buy,650000 
"228 La Trobe Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-133786658,"3502/228 La Trobe Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/4350a6889f0de4c5a7974e0f0a0a265adea9f98ea826cd8e6cccc95ab253cc51/image.jpg,Apartment,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",490000,buy,"$480,000 - $500,000"
"639 Lonsdale Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-133776298,"1502/639 Lonsdale Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/12ae4f9f04468b02042f1027da75c8bd3a5c0361269c2236e5187054a65e7a0b/image.jpg,Apartment,-37.815252,144.9536724,"(144.95367244636554, -37.815252)",450000,buy,"$440,000 - $460,000"
"455 ELIZABETH STREET, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-138883083,"408/455 ELIZABETH STREET, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/d2d43497e5fd0fd90f8181b05d6f1b336ddcf3893689630c26d0b3d899b72871/image.jpg,Apartment,-37.8103786,144.9613079,"(144.9613079, -37.8103786)",340000,buy,"$330,000-$350,000"
"228 A'Beckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-136977710,"613/228 A'Beckett Street, Melbourne, Vic 3000",2,1,2,0,https://i2.au.reastatic.net/{size}/1201759c258549bf7da0fa7f4bcf11c8c330ce2cadb23c1b23b39a086c25e1c4/image.jpg,Apartment,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",585000,buy,585000 
"11 Rose Lane, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-136230838,"702B/11 Rose Lane, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/0b96975aebae515ba0b460420bf68cbe5c53ef979239871629c3cf1ec776e331/image.jpg,Apartment,-37.81551125,144.9541116,"(144.954111635448, -37.81551125)",442500,buy,"$430,000 - $455,000"
"318 Little Lonsdale Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-137182474,"1006/318 Little Lonsdale Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/c7912f1013867930beece914788c945cad625477bb0dee01c46482417ca13cc1/image.jpg,Apartment,-37.8109981,144.9628452,"(144.9628452, -37.8109981)",350000,buy,"$340,000-$360,000"
"639 Lonsdale St, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-136434566,"2103L/639 Lonsdale St, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/927c9a5b5f66ef6f843952f082c415c94738ee879c2e3be15eb9b402c418831d/image.jpg,Apartment,-37.815252,144.9536724,"(144.95367244636554, -37.815252)",345000,buy,$330000 to $360000
"557 Little Lonsdale Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-135698870,"1005/557 Little Lonsdale Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/10493116eb3f409edb70774cf55d0f518249e7082d34312a36d4684036b08b64/image.jpg,Apartment,-37.8109981,144.9628452,"(144.9628452, -37.8109981)",325000,buy,325000 
"23 MacKenzie Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-136608566,"Level 33/23 MacKenzie Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/4be667e28722735641a394e88f299d2e67d22b9b7bd4bc9df5686db5e45fccb1/image.jpg,Apartment,-37.807427,144.9671085,"(144.9671085, -37.807427)",890000,buy,890000 
"27 Lt Collins Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139634443,"2013/27 Lt Collins Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/383dcac53263f3bdf5e6ce4509c656ddfa030b96ff6afbffd2395686b7e07bcc/image.jpg,Apartment,-37.8173936,144.9560988,"(144.9560988, -37.8173936)",635000,buy,"$620,000 - $650,000"
"639 Lonsdale Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-135538670,"1107/639 Lonsdale Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/e4e0bf46ce81a0ce604556e0107d04da58133e43cfe01ccd43c6362f8623c772/image.jpg,Apartment,-37.815252,144.9536724,"(144.95367244636554, -37.815252)",345000,buy,"$330,000-$360,000"
"108 Flinders Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-135055138,"1110/108 Flinders Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/ba5c224807aa3451644819ec4ed264b4c3e5f290db6eb884f0f8fd4dc3c2d0fd/image.jpg,Apartment,-37.816044,144.9711772,"(144.9711771771287, -37.816044000000005)",465000,buy,465000 
"120 Abeckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-135417974,"4409/120 Abeckett Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/46ea5109f75676179179f9d42bb569df7a9469198350b4cce002170b97bf4694/image.jpg,Apartment,-38.1171539,145.1489982,"(145.1489982, -38.1171539)",575000,buy,"$550,000-$600,000"
"560 Flinders Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-135803774,"402/560 Flinders Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/60fa2fe7bbe7c6778a118225be77ff654cb7e87d70add8a2772cda3871c78509/image.jpg,Apartment,-37.8190295,144.9618007,"(144.9618007, -37.8190295)",442500,buy,442500 
"8 Downie Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139893131,"8 Downie Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/dab025b6e166fbe4924f1ba5f40b8eeaf59d274d0998934289edf41c7d222fba/image.jpg,Apartment,-37.8199018,144.955577,"(144.955577, -37.8199018)",465000,buy,465000 
"11 Rose Lane, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139991347,"503B/11 Rose Lane, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/94f70f43c814e8fa11728273003b3cc1e225b73c5bd8996f37681d00488654b8/image.jpg,Apartment,-37.81551125,144.9541116,"(144.954111635448, -37.81551125)",315000,buy,"$300,000 - $330,000"
"120 A'beckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-135413430,"1507/120 A'beckett Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/9e8686cf8f1dcea30dfb05c8943500e98f344625221ae8dfabfce75a63b8e78c/image.jpg,Apartment,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",375000,buy,"$360,000.00 - $390,000.00"
"80 A'beckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140474255,"1706/80 A'beckett Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/20f271cd07a4c20f3f0075e2ec9e0625492cde693d7e3d180097825dc4120df2/image.jpg,Apartment,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",430000,buy,"$420,000-$440,000"
"462 Elizabeth Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-135401670,"6003/462 Elizabeth Street, Melbourne, Vic 3000",1,1,1,0,https://i2.au.reastatic.net/{size}/62287e852a9254b436d9bd8a2c50f3990c78accc96164c35cbb4380269c83b18/image.jpg,Apartment,-37.80783118,144.9604471,"(144.9604471, -37.807831182608695)",518000,buy,"Private Sale $518,000"
"483 Swanston Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139204015,"2303/483 Swanston Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/bf01020ef7a3edefb70eb7a154060c087291f3f7feff602123e15abe83f89b02/image.jpg,Apartment,-37.8072155,144.962489,"(144.962489, -37.8072155)",455000,buy,"$440,000-$470,000"
"639 LONSDALE STREET, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139202963,"2905/639 LONSDALE STREET, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/b0acef3d39dec3abb073badae816576f1148a921d7fe1574544eb17b6998ae23/image.jpg,Apartment,-37.815252,144.9536724,"(144.95367244636554, -37.815252)",555000,buy,"$540,000-$570,000"
"228 La Trobe Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-133356314,"3306/228 La Trobe Street, Melbourne, Vic 3000",1,1,1,0,https://i2.au.reastatic.net/{size}/e94e85ca93d244c58812737b2f55f13be37252995b2e98f978380dfa8e3786c5/image.jpg,Apartment,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",510000,buy,510000 
"327 La Trobe Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139179311,"2103/327 La Trobe Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/1e9ce40701188c919a90e6c27c8a78d39ed840d916cc9e74b8d6e2ae0fffda67/image.jpg,Apartment,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",315000,buy,"$300,000 - $ 330,000"
"200 Spencer Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139953475,"2205/200 Spencer Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/2c52d29f7c0ac9ac1d7ad3dc819f971db0d1983842f87c8da3cec2c4d80bc1e3/image.jpg,Apartment,-37.8162806,144.9532882,"(144.95328817518583, -37.8162806)",580000,buy,"$560,000-$600,000"
"222 Russell Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-138646327,"1605/222 Russell Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/8fd924f383f811a008cd1a227ebb9ecd392868d335ca261a0ab16591b6c736b3/image.jpg,Apartment,-37.8113058,144.9678576,"(144.9678576, -37.8113058)",380000,buy,380000 
"57 Flinders Lane, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-135358506,"606/57 Flinders Lane, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/0d6f247fc53d5104a3d3a4427b92348341d9cc3e6dd1eb00c467f5866261ab49/image.jpg,Apartment,-37.8171895,144.9645279,"(144.9645279, -37.8171895)",410000,buy,410000 
"422 Collins Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-138786359,"904/422 Collins Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/ff8b63ef84b56af4f766cf0c1edcc3d754d933711c6f200ceba5f8085e877aa3/image.jpg,Apartment,-37.81679715,144.9600304,"(144.9600304018269, -37.81679715)",315000,buy,315000 
"199 William Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-136146906,"1306/199 William Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/091577960fca3be40bbffd64a5a503eeacbf642267fbf920c94fb5d795130511/image.jpg,Apartment,-37.8115568,144.9564297,"(144.9564297, -37.8115568)",400000,buy,"Private Sale $400,000"
"639 Lonsdale Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-136197158,"4401/639 Lonsdale Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/3e4e96c9a020b00a4f60f70020955dc46e718e636ae7acf4027f2dac9ccffcc6/image.jpg,Apartment,-37.815252,144.9536724,"(144.95367244636554, -37.815252)",425000,buy,"$410,000-$440,000"
"81 Abeckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-134841146,"2303/81 Abeckett Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/9131a4a2b45d012b47078e04495cd3a49eea2b7375fd0bdfbb92753bf6d8a1cd/image.jpg,Apartment,-38.1171539,145.1489982,"(145.1489982, -38.1171539)",525000,buy,"From $500,000 to $550,000"
"222 Russell St, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-138770971,"2205/222 Russell St, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/121ec2f91fce793fdc2a0c0b905507d386e0b2a001038d7997143703e5b4575b/image.jpg,Apartment,-37.8113058,144.9678576,"(144.9678576, -37.8113058)",599000,buy,599000 
"568 Collins Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-138770339,"4407/568 Collins Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/2fe1f6667889b944d42eb4598a6b1fe36761cff5c23c513015f7214ec874159e/image.jpg,Apartment,-37.81835585,144.9554293,"(144.95542933144475, -37.81835585)",345000,buy,"$330,000 - $360,000"
"601 Little Lonsdale Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-133873106,"3915/601 Little Lonsdale Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/7142ced1e6a33851cae1ab616f6bb0928a18d2a506943346677fa414cae75b47/image.jpg,Apartment,-37.81389365,144.9537209,"(144.9537209, -37.81389365)",652500,buy,"$635,000 - $670,000"
"308 Exhibition Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-136931926,"3008/308 Exhibition Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/42f549a3093408296010fb8d3c6c116bdb31c4ddcb7c9cf9c9ea51f824ee8e1d/image.jpg,Apartment,-37.8081508,144.9686945,"(144.9686945, -37.8081508)",1270590,buy,1270590 
"199 William Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-134486258,"1013/199 William Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/d5fc37898f2ee03e057af5371ca0ea5118361723262ec92e54b2024ff949b4f1/image.jpg,Apartment,-37.8115568,144.9564297,"(144.9564297, -37.8115568)",410000,buy,"$400,000 - $420,000"
"38 Rose lane, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139895959,"1602/38 Rose lane, Melbourne, Vic 3000",3,2,1,1,https://i2.au.reastatic.net/{size}/2bfe59f56de47409827b72f12f0184567d066a5cb00f73a6c6ca560ecb779c55/image.jpg,Apartment,-37.8148091,144.9539615,"(144.9539615, -37.8148091)",850000,buy,850000 
"81 Abeckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-133923662,"2908/81 Abeckett Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/efb7aa81712adca8bfe05b938bb669a96d0acc5d4d5ec8620dedc4660d5fc20b/image.jpg,Apartment,-38.1171539,145.1489982,"(145.1489982, -38.1171539)",650000,buy,650000 
"228 Abeckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139153783,"517/228 Abeckett Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/4b11d765cad2af53ea87e767da371194b794280ac5f9b5261174c0d02e906235/image.jpg,Apartment,-38.1171539,145.1489982,"(145.1489982, -38.1171539)",309500,buy,"$295,000 - $324,000"
"471 Little Bourke Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-138739503,"513/471 Little Bourke Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/2904accd2a3c06d7836175e6ddd9011aba50a66fb561a752656e5100c4613eaf/image.jpg,Apartment,-37.8145395,144.9590572,"(144.9590572, -37.8145395)",329500,buy,329500 
"38 Rose Lane, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-133112610,"4102/38 Rose Lane, Melbourne, Vic 3000",3,2,2,0,https://i2.au.reastatic.net/{size}/c94a828fe6d52f54e226d179b53fc3793c34f868f971218cd71fa9ddd0ab603a/image.jpg,Apartment,-37.8148091,144.9539615,"(144.9539615, -37.8148091)",949000,buy,"$930,000-$968,000"
"228 A'BECKETT STREET, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-121945814,"1915/228 A'BECKETT STREET, Melbourne, Vic 3000",3,2,2,0,https://i2.au.reastatic.net/{size}/8b59a4e6fa959779360c52be317046c8659be002319d9997a910b4186f393008/image.jpg,Apartment,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",922500,buy,"$895,000-$950,000"
"220 Spencer Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140626599,"605/220 Spencer Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/e6ece32046965b1bdd473037cdbbc7cc2dcdce16af4e502a4dcb0dfbacd08fa1/image.jpg,Apartment,-37.815983,144.952991,"(144.952991, -37.815983)",545000,buy,"$520,000-$570,000"
"157 A'beckett St, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140620891,"3904/157 A'beckett St, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/ec934cbe175ff69b3982088b374945d17a9911b207a035262ad163affd2d744a/image.jpg,Apartment,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",896760,buy,896760 
"370 Queen Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140621119,"5408/370 Queen Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/4c5bdb225a43834a636472bd8004f86a44368bd3bb382b0d482118b398718b88/image.jpg,Apartment,-37.8119956,144.9594357,"(144.9594357, -37.8119956)",790000,buy,790000 
"370 Queen Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140621003,"6403/370 Queen Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/165e55782883963a7f6e18487a82049c58d74463ef149a1beac5cf713e7c9cce/image.jpg,Apartment,-37.8119956,144.9594357,"(144.9594357, -37.8119956)",665000,buy,665000 
"61 Mackenzie Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140534183,"G07/61 Mackenzie Street, Melbourne, Vic 3000",1,1,1,0,https://i2.au.reastatic.net/{size}/e1ea61b0bbb383094ecfcb5e425659c3b81530b41e61cf66aff843bf845bb916/image.jpg,Apartment,-37.807427,144.9671085,"(144.9671085, -37.807427)",560000,buy,"$540,000 to $580,000"
"568-580 Collins Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139355531,"3005/568-580 Collins Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/106264e204daa2973e195bcc53d222907c030be536a08847579b9e2313d0b7b4/image.jpg,Apartment,,,,414500,buy,"$395,000 - $434,000"
"243 Franklin Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140004035,"401/243 Franklin Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/76695fa3ae1213ce72222ea6cf8e3aaab8f2b151bc572808c832bf8a7a99459b/image.jpg,Apartment,-37.8098639,144.956785,"(144.956785, -37.8098639)",388500,buy,"$370,000 - $407,000"
"135 A'Beckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-138419631,"5607/135 A'Beckett Street, Melbourne, Vic 3000",1,1,1,0,https://i2.au.reastatic.net/{size}/ac4600d882bc6cbbe9d083ef95ae5cb238a6cb9bf11614f947366266fcb7b6db/image.jpg,Apartment,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",445200,buy,"$424,000 - $466,400"
"624 Lonsdale Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140509727,"Level 36/624 Lonsdale Street, Melbourne, Vic 3000",3,2,1,0,https://i2.au.reastatic.net/{size}/f2d887b298471f75fc9eca9b686f94377f2348cf0c7b0eb4723050de0bb518be/image.jpg,Apartment,-37.8123833,144.9620705,"(144.9620705, -37.8123833)",1131500,buy,1131500 
"220 Spencer Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140483383,"1815/220 Spencer Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/ffa2595267cd5f5c3c762fa83fbea4a19209eb2b178cd0c990339fd4e8887bc9/image.jpg,Apartment,-37.815983,144.952991,"(144.952991, -37.815983)",599000,buy,"$599,000 OPEN TO OFFERS"
"300 Swanston Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140405587,"413/300 Swanston Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/186d1d95235a0149eedddb2159a9dd3b3f4e95f9a44818dceee7ea453306e84a/image.jpg,Apartment,-37.81051006,144.9644505,"(144.9644505110039, -37.810510061172394)",378000,buy,378000 
