location,url,fulladdress,bedrooms,bathrooms,parkingSpaces,studies,image_url,latitude,longitude,coordinates,pprice,type,house_type
"160 Chapel Street, St Kilda, Vic 3182",https://www.realestate.com.au/property-apartment-vic-st+kilda-139359871,"4/160 Chapel Street, St Kilda, Vic 3182",2,1,1,0,https://i2.au.reastatic.net/{size}/c149475dc7adb08193ef4eb5b3a51ff2ffd2683275e46120da72d9f6e89e5c65/image.jpg,-37.8675631,144.9905019,"(144.9905019, -37.8675631)",820000,buy,Apartment
"77 Queens Road, Melbourne, Vic 3004",https://www.realestate.com.au/property-apartment-vic-melbourne-140618999,"1106/77 Queens Road, Melbourne, Vic 3004",2,2,1,0,https://i2.au.reastatic.net/{size}/5a6182a2aa16dec1f33157c865662a4c8c706a343cae5d8dc38544204755cb63/image.jpg,-37.8527004,144.9797521,"(144.97975209999998, -37.8527004)",775000,buy,Apartment
"17 Northcote Street, Northcote, Vic 3070",https://www.realestate.com.au/property-house-vic-northcote-140619303,"17 Northcote Street, Northcote, Vic 3070",3,2,0,0,https://i2.au.reastatic.net/{size}/4aa8890e18a86afc36e9681320dca1db51f56c77b2bbf93a6ca0ed513dd2b464/image.jpg,-37.773505,145.0080718,"(145.0080718, -37.773505)",1650000,buy,House
"19 Shakespeare Grove, St Kilda, Vic 3182",https://www.realestate.com.au/property-apartment-vic-st+kilda-140486363,"10/19 Shakespeare Grove, St Kilda, Vic 3182",2,1,1,0,https://i2.au.reastatic.net/{size}/d473730570a1863d664a3770ebc15bc0693369137e1ff77ffa3d4ce43dc004a7/image.jpg,-37.867731,144.9785127,"(144.9785127, -37.867731)",670000,buy,Apartment
"6 Type Street, Richmond, Vic 3121",https://www.realestate.com.au/property-house-vic-richmond-137791526,"6 Type Street, Richmond, Vic 3121",3,2,1,0,https://i2.au.reastatic.net/{size}/901f6ef9af0e23ab68c6c17e535f65dd22d41c70c81a0975eb0a093ac1128af2/image.jpg,-37.8207601,145.0097017,"(145.0097017, -37.8207601)",1700000,buy,House
"3-5 St Kilda Road, St Kilda, Vic 3182",https://www.realestate.com.au/property-apartment-vic-st+kilda-140369679,"1606/3-5 St Kilda Road, St Kilda, Vic 3182",1,1,1,1,https://i2.au.reastatic.net/{size}/95b89baf486b9096b72c265179a2a7aab986be0c1df7534586725af9b814a4bc/image.jpg,-37.8587677,144.9831076,"(144.98310759454694, -37.8587677)",520000,buy,Apartment
"15 Stockade Lane, Richmond, Vic 3121",https://www.realestate.com.au/property-house-vic-richmond-140486175,"15 Stockade Lane, Richmond, Vic 3121",3,2,2,0,https://i2.au.reastatic.net/{size}/0c4a40567a573e181d24282c7ed8f51425f03da663ea2d3a615eeabd3923eace/image.jpg,-37.821029,144.9987579,"(144.9987579, -37.821029)",2520000,buy,House
"66 Montague Street, South Melbourne, Vic 3205",https://www.realestate.com.au/property-townhouse-vic-south+melbourne-140476975,"19/66 Montague Street, South Melbourne, Vic 3205",2,2,1,0,https://i2.au.reastatic.net/{size}/b80be304e71b5927ce2f9b62c6f2db11b3e28ba61de96be9927419c13cf9edfb/image.jpg,-37.8327272,144.9521962,"(144.9521962, -37.8327272)",835000,buy,Townhouse
"42 Little Kent Street, Richmond, Vic 3121",https://www.realestate.com.au/property-townhouse-vic-richmond-139755251,"42 Little Kent Street, Richmond, Vic 3121",2,1,1,0,https://i2.au.reastatic.net/{size}/dc096165c8862479014f6f0025e3fe4a462f2ebf09230479f1ed5c9048a87ebb/image.jpg,-37.8152864,145.0029748,"(145.0029748, -37.8152864)",885000,buy,Townhouse
"8 Grosvenor Street, Abbotsford, Vic 3067",https://www.realestate.com.au/property-apartment-vic-abbotsford-140369299,"906/8 Grosvenor Street, Abbotsford, Vic 3067",1,1,1,0,https://i2.au.reastatic.net/{size}/e0087c1b3fbc1eafd2b7e8af73004682feaa845d17d7a9a4b5a6394fc055202b/image.jpg,-37.8083726,145.0067578,"(145.0067578, -37.8083726)",409500,buy,Apartment
"137 Roberts Street, Northcote, Vic 3070",https://www.realestate.com.au/property-house-vic-northcote-140485743,"137 Roberts Street, Northcote, Vic 3070",3,2,1,0,https://i2.au.reastatic.net/{size}/244a76b2def7ece1850012c9059437efa31f2dea8d1516459c8b68d04e0103db/image.jpg,-37.7778311,145.0010268,"(145.0010268, -37.7778311)",1785000,buy,House
"3 Lees Street, Northcote, Vic 3070",https://www.realestate.com.au/property-house-vic-northcote-140485747,"3 Lees Street, Northcote, Vic 3070",3,1,1,0,https://i2.au.reastatic.net/{size}/c4cc7f2d04571daff1b9b69f2a2e3921b924600769ed300a3a9c9bb45083b1c5/image.jpg,-37.778975,145.0090725,"(145.0090725, -37.778975)",1700000,buy,House
"44 Christmas Street, Northcote, Vic 3070",https://www.realestate.com.au/property-house-vic-northcote-140614307,"44 Christmas Street, Northcote, Vic 3070",3,1,1,0,https://i2.au.reastatic.net/{size}/9f3ec7a760897a2803ed41cdffe3054d6aeba0b5001e4922a5ac6b12b14049f5/image.jpg,-37.7659127,145.0054928,"(145.0054928, -37.7659127)",1250000,buy,House
"100 Lorimer Street, Docklands, Vic 3008",https://www.realestate.com.au/property-apartment-vic-docklands-140618699,"1301/100 Lorimer Street, Docklands, Vic 3008",3,2,2,1,https://i2.au.reastatic.net/{size}/1a03f3131ced60463e690d3aa832da51d05c65b4b2da4efc29f5e498ca0e67ef/image.jpg,-37.82409425,144.9429801,"(144.94298009613826, -37.82409425)",1415000,buy,Apartment
"184 Easey Street, Collingwood, Vic 3066",https://www.realestate.com.au/property-house-vic-collingwood-140485451,"184 Easey Street, Collingwood, Vic 3066",5,2,0,0,https://i2.au.reastatic.net/{size}/6fc9269b080264c0e4ec267eed5ba0233b8234e0eadca36df9a7f315f419f3ce/image.jpg,-37.7980087,144.9888598,"(144.9888598, -37.7980087)",1540000,buy,House
"60 Siddeley Street, Docklands, Vic 3008",https://www.realestate.com.au/property-apartment-vic-docklands-140618631,"921/60 Siddeley Street, Docklands, Vic 3008",2,2,1,0,https://i2.au.reastatic.net/{size}/78d409e2641d47455c50afe52f553164b4f7a3acff5d399f1c0933ba4fafa4be/image.jpg,-37.8224147,144.9516984,"(144.9516984, -37.8224147)",787500,buy,Apartment
"24 Kent Street, Richmond, Vic 3121",https://www.realestate.com.au/property-house-vic-richmond-140485363,"24 Kent Street, Richmond, Vic 3121",3,1,2,0,https://i2.au.reastatic.net/{size}/6443d4a0e0c549406f38c3d09a85948d75719dda09bb13c431b6d4e66e0f6af8/image.jpg,-37.8147609,145.0014392,"(145.0014392, -37.8147609)",1669500,buy,House
"14 Wrexham Road, Prahran, Vic 3181",https://www.realestate.com.au/property-apartment-vic-prahran-140478891,"6/14 Wrexham Road, Prahran, Vic 3181",2,1,1,0,https://i2.au.reastatic.net/{size}/47196ab187a2f4710019d8d7d8bbfef2006a0f95b18b842309a3cc4ffe6143b1/image.jpg,,,,625000,buy,Apartment
"4 Rae Court, Prahran, Vic 3181",https://www.realestate.com.au/property-apartment-vic-prahran-140479907,"2/4 Rae Court, Prahran, Vic 3181",2,1,1,0,https://i2.au.reastatic.net/{size}/045beb8595d21c4540458cff45a7bb96d6000159d6f22dd6398d16066147e17f/image.jpg,-37.8567099,145.0017792,"(145.0017792, -37.8567099)",675000,buy,Apartment
"19 Irving Avenue, Prahran, Vic 3181",https://www.realestate.com.au/property-apartment-vic-prahran-140479411,"13/19 Irving Avenue, Prahran, Vic 3181",2,1,1,0,https://i2.au.reastatic.net/{size}/92c0a3e57145a0fccb0c6412f73558dbfc361b25955a03c1ba887f33ec2095f3/image.jpg,-37.8576881,145.0072645,"(145.0072645, -37.8576881)",515000,buy,Apartment
"109 George Street, Fitzroy, Vic 3065",https://www.realestate.com.au/property-house-vic-fitzroy-140438967,"109 George Street, Fitzroy, Vic 3065",2,1,2,0,https://i2.au.reastatic.net/{size}/8a4c1cd440aa485c062278009cef8dc471ae558147c77df0e6a769c12c72b2df/image.jpg,-37.8017752,144.9813182,"(144.9813182, -37.8017752)",1575000,buy,House
"297 Dorcas Street, South Melbourne, Vic 3205",https://www.realestate.com.au/property-townhouse-vic-south+melbourne-140618483,"16/297 Dorcas Street, South Melbourne, Vic 3205",3,2,2,0,https://i2.au.reastatic.net/{size}/69ab5bb962d2dc6c8a35e025ed04c36f25f6f5496f347ec6b9a8eec200e18a9f/image.jpg,-37.8344125,144.9574966,"(144.95749659922927, -37.8344125)",1600000,buy,Townhouse
