location,url,fulladdress,bedrooms,bathrooms,parkingSpaces,studies,image_url,latitude,longitude,coordinates,rent_price,type,house_type
639 lonsdale street,https://www.realestate.com.au/property-apartment-vic-melbourne-435433787,"2705/639 lonsdale street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/e1925c2b58dd3a44664b8ffa390d486e626f1dadf521707789f5ecfb24fe61a5/image.jpg,-37.815252,144.9536724,"(144.95367244636554, -37.815252)",630 ,rent,Apartment
560 Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435432899,"2809/560 Lonsdale Street, Melbourne, Vic 3000",3,2,1,0,https://i2.au.reastatic.net/{size}/bed5824e481e4855fcd3e57e4c4f5d062a93ac40466570690a998ffe4ef1ae26/image.jpg,-37.8137367,144.9556294,"(144.95562942986624, -37.8137367)",940 ,rent,Apartment
200 Spencer Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435432039,"3109/200 Spencer Street, Melbourne, Vic 3000",2,2,1,1,https://i2.au.reastatic.net/{size}/8e677a6ec68db3a7622a0ee74620f0d4bee9e7168e5ed43b4946fbf9d9572908/image.jpg,-37.8162806,144.9532882,"(144.95328817518583, -37.8162806)",690 ,rent,Apartment
455 Elizabeth Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435431871,"1108/455 Elizabeth Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/f1c8213dbddd5f71428ad1dc6a4740ad93e53eb791f9744ee4ee705a4a37fba7/image.jpg,-37.8103786,144.9613079,"(144.9613079, -37.8103786)",500 ,rent,Apartment
268 Flinders Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435431619,"326/268 Flinders Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/ebf1ef0712cbe72f1b0352253ae9aa136344c37abddcc80277eac0dcd5af7dab/image.jpg,-37.8190295,144.9618007,"(144.9618007, -37.8190295)",300 ,rent,Apartment
8 Downie Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435431347,"2709/8 Downie Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/b559b1c227940ca9559dab4ba52cc7eb54a3132f1ea58f45eabf048fd39b5ac6/image.jpg,-37.8199018,144.955577,"(144.955577, -37.8199018)",550 ,rent,Apartment
33-71 Spencer Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435431291,"217/33-71 Spencer Street, Melbourne, Vic 3000",1,2,1,0,https://i2.au.reastatic.net/{size}/dd834a49dca85a51c00b273c98720ad40689c1b05119718c6438c88c8ffd0c1b/image.jpg,-37.8131357,144.95151,"(144.95151, -37.8131357)",550 ,rent,Apartment
220 Spencer Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435430439,"303/220 Spencer Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/1fc4e2b2258dbbd6ab981553ab7251407afe5c48172f6b21543ecfb37cabe64c/image.jpg,-37.815983,144.952991,"(144.952991, -37.815983)",575 ,rent,Apartment
65 Elizabeth Street,https://www.realestate.com.au/property-studio-vic-melbourne-435430331,"503/65 Elizabeth Street, Melbourne, Vic 3000",0,1,0,0,https://i2.au.reastatic.net/{size}/f3513707f7a1e99668865a676c2809b9d45cba194d0f3330c7177f451faa8125/image.jpg,-37.8168759,144.964142,"(144.964142, -37.8168759)",320 ,rent,Studio
228 La Trobe Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435429043,"4405/228 La Trobe Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/b567cf7b192b113645a0e266449f8e23c3a4bead0c3dda6fb722cb5be3a6de81/image.jpg,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",750 ,rent,Apartment
483 Swanston Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435428943,"1408/483 Swanston Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/b9049233073073ecc1b7cdfd35e50a5cba86b4b9c7080689c33d9e8b71f2d50c/image.jpg,-37.8072155,144.962489,"(144.962489, -37.8072155)",520 ,rent,Apartment
60 Abeckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435428867,"3809/60 Abeckett Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/0886afee0c67af508b90a7eeaebffbd8cefc38fbf9868b8df449a6cb91b8c1ba/image.jpg,-38.1171539,145.1489982,"(145.1489982, -38.1171539)",600 ,rent,Apartment
33 Rose Lane,https://www.realestate.com.au/property-apartment-vic-melbourne-435152691,"306/33 Rose Lane, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/d4ea4ee100a4a295fa09a4aa06d79a62d29aec742fe2d16e993264927c25c5f8/image.jpg,-37.8151054,144.9538211,"(144.95382108260804, -37.8151054)",550 ,rent,Apartment
31 A'beckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-434737659,"1201/31 A'beckett Street, Melbourne, Vic 3000",2,1,1,1,https://i2.au.reastatic.net/{size}/478a44b54aa6a1adb74c0dea761a8492e03703e97abd20fe6495b543361e7820/image.jpg,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",525 ,rent,Apartment
572 St Kilda Road,https://www.realestate.com.au/property-unit-vic-melbourne-434950351,"1225/572 St Kilda Road, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/69d7931f574142123407bc5fd5355233405b53b3f0e4fd2624bc4bb7e8dc4515/image.jpg,-37.847698,144.978991,"(144.978991, -37.847698)",470 ,rent,Unit
220 Spencer Street,https://www.realestate.com.au/property-studio-vic-melbourne-435428119,"1705/220 Spencer Street, Melbourne, Vic 3000",0,1,0,0,https://i2.au.reastatic.net/{size}/d1cbd9c97d210597032f2f6a2f830b88deff7f8e29b813c67cfb0cdd2d1fd26d/image.jpg,-37.815983,144.952991,"(144.952991, -37.815983)",400 ,rent,Studio
370 Queen Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435427979,"5410/370 Queen Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/be1061083a205e5b70c5b85a7235ebbfa8385d976d5fd1c9c1f7dff1ba1db54e/image.jpg,-37.8119956,144.9594357,"(144.9594357, -37.8119956)",775 ,rent,Apartment
228 La Trobe Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435052827,"4805/228 La Trobe Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/6b62a3d89da0968e48129449e9f00a5993a1fff246da11085513a52f907bafa7/image.jpg,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",750 ,rent,Apartment
80 A'Beckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435427139,"3803/80 A'Beckett Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/a4b9e8d206e1687b554ead9a180b4c8b4353bae0aa9eb617a0913ec219ceb8f5/image.jpg,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",570 ,rent,Apartment
538 Little Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435426971,"161/538 Little Lonsdale Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/a406e75ac1dfc74dea831e646ebb5cea0077020d00d85d7ae2a3aac872c3c373/image.jpg,-37.81357985,144.9532418,"(144.95324183501094, -37.813579849999996)",520 ,rent,Apartment
22-24 Jane Bell Lane,https://www.realestate.com.au/property-apartment-vic-melbourne-426377082,"3603/22-24 Jane Bell Lane, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/6c9aeb4d6edf1590a17a4eec9bf76cbd3e0b8cc2ffbf8e5e2d57c93e9ff861d6/image.jpg,-37.8104474,144.9658832,"(144.9658832, -37.8104474)",650 ,rent,Apartment
639 Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435426583,"2211/639 Lonsdale Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/c78cf0cc22ff9dedfb60abbec9bb085ce55c683a1bc54380d1ec32ebe924336b/image.jpg,-37.815252,144.9536724,"(144.95367244636554, -37.815252)",650 ,rent,Apartment
199 William Street,https://www.realestate.com.au/property-apartment-vic-melbourne-423234514,"1524/199 William Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/be60d3327abdefcdc67ee36af16d7472ddf3d5a07b71588a7234cf1be1d1384c/image.jpg,-37.8115568,144.9564297,"(144.9564297, -37.8115568)",425 ,rent,Apartment
639 Little Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-432646038,"913/639 Little Lonsdale Street, Melbourne, Vic 3000",1,1,0,1,https://i2.au.reastatic.net/{size}/f1187cacd2f81349137896322a64678f9d61ec7a7e52abd0dfe2eee1f9b8b3c3/image.jpg,-37.8109981,144.9628452,"(144.9628452, -37.8109981)",580 ,rent,Apartment
30 Russell Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435426391,"43/30 Russell Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/19de521bf9721cd1f28641a9e7b2b556b633c995719667f4c9f72782caad7447/image.jpg,-37.81582658,144.969763,"(144.96976295, -37.81582658000001)",680 ,rent,Apartment
228 LA TROBE STREET,https://www.realestate.com.au/property-apartment-vic-melbourne-431297414,"2807/228 LA TROBE STREET, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/cb25481d1982aa90d1e65424aa58af40da7670c21325cdc63f24a7476fe6a875/image.jpg,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",550 ,rent,Apartment
157 A'Beckett St,https://www.realestate.com.au/property-apartment-vic-melbourne-430325794,"1904/157 A'Beckett St, Melbourne, Vic 3000",1,1,0,1,https://i2.au.reastatic.net/{size}/405cd279b38b4ba85c2480287c7d3c26212a19dbd8c4d81dd3e6025f330c9b9d/image.jpg,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",600 ,rent,Apartment
560 Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435425671,"5511/560 Lonsdale Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/bed5824e481e4855fcd3e57e4c4f5d062a93ac40466570690a998ffe4ef1ae26/image.jpg,-37.8137367,144.9556294,"(144.95562942986624, -37.8137367)",550 ,rent,Apartment
181 ABeckett Street,https://www.realestate.com.au/property-studio-vic-melbourne-435425551,"509/181 ABeckett Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/ecde8b1e7207819c9bf55e476b923a9a2642efaf5427198a4e35df14aa17b71b/image.jpg,-38.1171539,145.1489982,"(145.1489982, -38.1171539)",390 ,rent,Studio
601 Little Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435425547,"2201/601 Little Lonsdale Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/107806a08b547153dda28c6a8e96e7145c75a84f5ef70d2b927f697efef9a8cd/image.jpg,-37.81389365,144.9537209,"(144.9537209, -37.81389365)",630 ,rent,Apartment
601 Little Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435425539,"3906/601 Little Lonsdale Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/a8303688dd7b3e77d45f627d32a0699177f64a1a3df044ba5ba4eb13bcafe0d7/image.jpg,-37.81389365,144.9537209,"(144.9537209, -37.81389365)",480 ,rent,Apartment
311 Royal Pde.,https://www.realestate.com.au/property-apartment-vic-melbourne-434013143,"3/311 Royal Pde., Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/e4038053083280e7b91900a7a1dcb26b08c3f74b295eacb981e02b0c7d8aac4d/image.jpg,-37.78617526,144.9588779,"(144.9588779121212, -37.786175263636366)",500 ,rent,Apartment
157 A'beckett street,https://www.realestate.com.au/property-apartment-vic-melbourne-435149631,"2606/157 A'beckett street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/00d5bd6d855a172611f0540a13fa1f1a25f17b398d68530f113e62adf1541ccd/image.jpg,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",640 ,rent,Apartment
80 Abeckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435249767,"1905/80 Abeckett Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/690e9e78185cd43e66ed49fd20f3f0e5c718a0a2cc569e85207877ac8ee5e9be/image.jpg,-38.1171539,145.1489982,"(145.1489982, -38.1171539)",410 ,rent,Apartment
199 William Street,https://www.realestate.com.au/property-apartment-vic-melbourne-427006914,"1309/199 William Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/1088eea4524f94028a769cc7e0100aea6f96202bc01d53fbd8794476f3a3a5d8/image.jpg,-37.8115568,144.9564297,"(144.9564297, -37.8115568)",500 ,rent,Apartment
151 Berkeley Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435248571,"1005/151 Berkeley Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/35d511f72113ba474751f1a3ba3101bc9d6983900dbad8b4d39ff0d2f5c5ebee/image.jpg,-37.8024399,144.9587099,"(144.9587099, -37.8024399)",625 ,rent,Apartment
36 La Trobe Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435145843,"501/36 La Trobe Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/695bb91a9dce5fb6bf10623df77714680fa49ba2fb2e3222959becc0f1f7f7bc/image.jpg,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",430 ,rent,Apartment
39 Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-416143033,"308/39 Lonsdale Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/21401df82621bfeea00556344a5678b57997ac09a6180e97d57ab7252138a736/image.jpg,-37.8123833,144.9620705,"(144.9620705, -37.8123833)",480 ,rent,Apartment
280 Spencer Street,https://www.realestate.com.au/property-apartment-vic-melbourne-433217882,"1207/280 Spencer Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/d0f84a632c64eb11249c524ff1d9e6f422b36b588c06fb18f2ba600b33285f6e/image.jpg,-37.8131357,144.95151,"(144.95151, -37.8131357)",400 ,rent,Apartment
466 Collins Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435242375,"2804/466 Collins Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/6d8d0c8d07c92bd641beefd8265318875f6d3672902893f1c44480019bc78d33/image.jpg,-37.815886,144.9652908,"(144.9652908, -37.815886)",550 ,rent,Apartment
228 La Trobe Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435242367,"4920/228 La Trobe Street, Melbourne, Vic 3000",1,1,0,1,https://i2.au.reastatic.net/{size}/8d129e06fa06918e9a9eec03f2d3272355da3c21fb0ffe88a0c992a528bc0c9d/image.jpg,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",600 ,rent,Apartment
131-135 Bourke Street,https://www.realestate.com.au/property-apartment-vic-melbourne-434268199,"317/131-135 Bourke Street, Melbourne, Vic 3000",0,1,0,0,https://i2.au.reastatic.net/{size}/e0770cd3b9edcf26c608b9ff01e363423a5499da190acdc7d643e097388f8eae/image.jpg,-37.8127599,144.9693633,"(144.9693633, -37.8127599)",480 ,rent,Apartment
131-135 Bourke Street,https://www.realestate.com.au/property-apartment-vic-melbourne-434268035,"312/131-135 Bourke Street, Melbourne, Vic 3000",0,1,0,0,https://i2.au.reastatic.net/{size}/8ba76b1b718a07fa98df3e583214612f66d4c00743f8ed30ebd59d2b1dac7b1e/image.jpg,-37.8127599,144.9693633,"(144.9693633, -37.8127599)",480 ,rent,Apartment
620 Collins Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435332575,"1202/620 Collins Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/a0d3b993862ebf6a503361cc078c85a8aca64e02f53fffc4255d729ca488bca2/image.jpg,-37.8188477,144.9542821,"(144.9542821, -37.8188477)",500 ,rent,Apartment
568 Collins Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435141259,"2510/568 Collins Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/fe4638be45d516029146c4ff249ba2223f3baddadb79d4d9bb4683d7261ce64d/image.jpg,-37.81835585,144.9554293,"(144.95542933144475, -37.81835585)",540 ,rent,Apartment
36 La Trobe Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435141247,"2504/36 La Trobe Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/b99b398efc5cf50e918f062265647960c6ccae4e7f85586b6108f93faa9e5e6f/image.jpg,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",520 ,rent,Apartment
99 A'beckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435330915,"521/99 A'beckett Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/b66c15010ab59d54eac160e1db658a3cc0c847470ef181a0ae4a8dc0157e9bf4/image.jpg,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",300 ,rent,Apartment
99 A'beckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435330907,"521/99 A'beckett Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/b66c15010ab59d54eac160e1db658a3cc0c847470ef181a0ae4a8dc0157e9bf4/image.jpg,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",300 ,rent,Apartment
318 Queen Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435295323,"2003/318 Queen Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/7d9ab90f562a2742f2ef0789a00a20b69fbfdd116aed6c47cc8ec8bddd8a7632/image.jpg,-37.8119956,144.9594357,"(144.9594357, -37.8119956)",660 ,rent,Apartment
283 Spring Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435329319,"165/283 Spring Street, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/e4d7f384206ba65072049abf39f3f0ddfb3e2a12dc96a5c788a746f817dfa74f/image.jpg,-37.8082261,144.9713126,"(144.9713126, -37.8082261)",620 ,rent,Apartment
139 Lonsdale St,https://www.realestate.com.au/property-apartment-vic-melbourne-432161742,"568/139 Lonsdale St, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/71873a188b48344d19f7289f73aafaafcb66f9c345f1ae4c177e8126036aa66f/image.jpg,-37.8123833,144.9620705,"(144.9620705, -37.8123833)",380 ,rent,Apartment
140 Little Collins Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435136515,"313/140 Little Collins Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/ed61aa0fdef722f89b86248fc5be347f5d8ba577aef69d90fbc0f9fa269adaa3/image.jpg,-37.8173936,144.9560988,"(144.9560988, -37.8173936)",495 ,rent,Apartment
380 Little Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435326467,"2201/380 Little Lonsdale Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/68872f0c19a5e53b8a583a832ce92a922d9760283eb53716d40084e51b186a17/image.jpg,-37.8122724,144.9581821,"(144.9581821, -37.8122724)",550 ,rent,Apartment
11 Rose Lane,https://www.realestate.com.au/property-apartment-vic-melbourne-435325015,"1605/11 Rose Lane, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/7c7a3fae3cf226c56281fab46663864ceb5bd4f9c2a4c536ac985f03731cccd5/image.jpg,-37.81551125,144.9541116,"(144.954111635448, -37.81551125)",600 ,rent,Apartment
80 ABeckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435325011,"1508/80 ABeckett Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/5c5b3bfefce1bbb369aa3b2aff1b48ce48daaceb207ab83f801955cd7f708d7e/image.jpg,-38.1171539,145.1489982,"(145.1489982, -38.1171539)",550 ,rent,Apartment
668 Bourke Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435324891,"1106/668 Bourke Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/e8896e39abb2d5a59bdda55d5421ecedba10d6951885dde4f0515f9fd36dd63c/image.jpg,-37.814762,144.9614924,"(144.9614924, -37.814762)",480 ,rent,Apartment
39 Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435132983,"1215/39 Lonsdale Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/d8f283c71787948651522706f7367020fba3b1ab578b65821799425e7d0db4ca/image.jpg,-37.8123833,144.9620705,"(144.9620705, -37.8123833)",460 ,rent,Apartment
74 Queens Road,https://www.realestate.com.au/property-apartment-vic-melbourne-435423963,"510/74 Queens Road, Melbourne, Vic 3000",1,1,1,1,https://i2.au.reastatic.net/{size}/f2d98e86275ccd9d0030dd46e3b9f983b4b81c5aa669f86eb4294acfed98d07c/image.jpg,-37.8523404,144.9791488,"(144.9791488, -37.8523404)",450 ,rent,Apartment
441 Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435233559,"202A/441 Lonsdale Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/084bdf8d049c4a3aea4ebd5b6fc464b3363afc6d232504a3971fa68b3623b555/image.jpg,-37.8123833,144.9620705,"(144.9620705, -37.8123833)",300 ,rent,Apartment
27 Therry Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435132563,"1007/27 Therry Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/d98dfaf49d1295bc33486ac202fc444bf981afba56f6691d12fc2f9abb00cafc/image.jpg,-37.8070736,144.9610151,"(144.9610150513281, -37.8070736)",500 ,rent,Apartment
639 Little Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435323919,"5707B/639 Little Lonsdale Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/0b3e82ea6e53814b31a30eabf91f9fbf6b309d115faeab11823ebf1f09792c91/image.jpg,-37.8109981,144.9628452,"(144.9628452, -37.8109981)",550 ,rent,Apartment
455 Elizabeth Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435423295,"1003/455 Elizabeth Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/9af4e1af8fe8e7fa03b148e6685a957f21894c7a6266c86c27ca759884ed6a32/image.jpg,-37.8103786,144.9613079,"(144.9613079, -37.8103786)",470 ,rent,Apartment
380 Little Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435323463,"2304/380 Little Lonsdale Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/e1ba00adf7def92583b5056126bcd49c290d09486222dcd5ae96aed59b2fd8ca/image.jpg,-37.8122724,144.9581821,"(144.9581821, -37.8122724)",400 ,rent,Apartment
455 Elizabeth Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435232287,"106/455 Elizabeth Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/228e5cd492ed6b7dc7aa0c80f00f42ebc7b0ac7376b2d6cdb405bf7b992e2b20/image.jpg,-37.8103786,144.9613079,"(144.9613079, -37.8103786)",350 ,rent,Apartment
538 Little Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-434731955,"192/538 Little Lonsdale Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/f31579e8b16cfbc6335c597958e359d9cfc991b4b2dbded6a702214c363b7d55/image.jpg,-37.81357985,144.9532418,"(144.95324183501094, -37.813579849999996)",550 ,rent,Apartment
135 A'Beckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-426383366,"4503/135 A'Beckett Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/120e8aa34c354704153785289914d9f7efcca747740093ffde7fea0fc5a07ced/image.jpg,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",625 ,rent,Apartment
285 La Trobe Street,https://www.realestate.com.au/property-apartment-vic-melbourne-429066390,"4009/285 La Trobe Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/8f3fb752d1b7148e161944690eb1045015537f86d272d7ae44fbfb1383ee88eb/image.jpg,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",550 ,rent,Apartment
318 Lt Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435231175,"605/318 Lt Lonsdale Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/cb1a1684c39e5f1f698d67b6e70a477aab50b80ff7d5ca55e0edce1e85fb21e3/image.jpg,-37.8109981,144.9628452,"(144.9628452, -37.8109981)",450 ,rent,Apartment
8 Downie Street,https://www.realestate.com.au/property-other-vic-melbourne-435322167,"1510/8 Downie Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/fc5cf29036a4d56d53059683b970fc454d216388b99ba174b0760054af508386/image.jpg,-37.8199018,144.955577,"(144.955577, -37.8199018)",450 ,rent,Other
380 Little Lonsdale Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435231027,"2401/380 Little Lonsdale Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/dee3980a12107a512143fc8f89a182137ea2b441d71531754b54a5c6ba9fa22e/image.jpg,-37.8122724,144.9581821,"(144.9581821, -37.8122724)",580 ,rent,Apartment
80 A'Beckett Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435420447,"3807/80 A'Beckett Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/52245e7635a89e03511f81c9812b798306422ed866867aa6dcee407bf7854c3d/image.jpg,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",600 ,rent,Apartment
560 Flinders Street,https://www.realestate.com.au/property-apartment-vic-melbourne-431049234,"1003/560 Flinders Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/aa974e108f5ffc244c2a945c0cedcf0ca04bb1a234050a10bab8e672b93e89c3/image.jpg,-37.8190295,144.9618007,"(144.9618007, -37.8190295)",480 ,rent,Apartment
308 Exhibition Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435420595,"1901/308 Exhibition Street, Melbourne, Vic 3000",3,2,1,0,https://i2.au.reastatic.net/{size}/26042a54d163632619636c7c30fd738fc7abf499dc573ea2261de6ea6e9bd026/image.jpg,-37.8081508,144.9686945,"(144.9686945, -37.8081508)",1500 ,rent,Apartment
31 Spring Street,https://www.realestate.com.au/property-apartment-vic-melbourne-435420355,"1805/31 Spring Street, Melbourne, Vic 3000",1,1,1,0,https://i2.au.reastatic.net/{size}/8e0707b667bebda33f726d78c44e7a050f9d935963ef306367e9a160873bbc98/image.jpg,-37.8145494,144.9741154,"(144.97411540000002, -37.814549400000004)",450 ,rent,Apartment
75 Queens Road,https://www.realestate.com.au/property-apartment-vic-melbourne-435319563,"4/75 Queens Road, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/66f875c1f72ed9214a56125ed1466d070fcb42ede6e299ed5bbc0da8972f12ef/image.jpg,-37.85257385,144.9795764,"(144.97957640004108, -37.85257385)",450 ,rent,Apartment
