location,url,fulladdress,bedrooms,bathrooms,parkingSpaces,studies,image_url,latitude,longitude,coordinates,rent_price,type,house_type
"59 Richmond Terrace, Richmond, Vic 3121",https://www.realestate.com.au/property-house-vic-richmond-435345655,"59 Richmond Terrace, Richmond, Vic 3121",2,2,0,0,https://i2.au.reastatic.net/{size}/26cd77f792bd3940009cdea7c768bab94b1c7dd83074cfee7f1b14a94ad45fda/image.jpg,-37.8216663,144.9894349,"(144.9894349, -37.8216663)",700 ,rent,House
"118 Kavanagh Street, Southbank, Vic 3006",https://www.realestate.com.au/property-apartment-vic-southbank-435345527,"710/118 Kavanagh Street, Southbank, Vic 3006",2,1,1,0,https://i2.au.reastatic.net/{size}/3b993b3071dedf2724a169aa2c4ea02704f33d88773cc2dfa0cdde783c052999/image.jpg,-37.8254696,144.9620891,"(144.9620891019552, -37.825469600000005)",525 ,rent,Apartment
"7 Claremont Street, South Yarra, Vic 3141",https://www.realestate.com.au/property-apartment-vic-south+yarra-435257599,"1601/7 Claremont Street, South Yarra, Vic 3141",2,2,1,0,https://i2.au.reastatic.net/{size}/736e059ddda98b93de9180ec599e4302179c245d0be76a0feebacead38c7ee4b/image.jpg,-37.8377585,144.9938493,"(144.9938493, -37.8377585)",630 ,rent,Apartment
"36-38 Darling Street, South Yarra, Vic 3141",https://www.realestate.com.au/property-apartment-vic-south+yarra-435345299,"207/36-38 Darling Street, South Yarra, Vic 3141",1,1,1,0,https://i2.au.reastatic.net/{size}/cfc7db7e5f0b3ede63580d8c09c232e9eb58404e7f80b5627901d22fb52f7d67/image.jpg,-37.8335878,144.9910695,"(144.9910695, -37.8335878)",300 ,rent,Apartment
"70 Queens Road, Melbourne, Vic 3004",https://www.realestate.com.au/property-apartment-vic-melbourne-432122466,"805/70 Queens Road, Melbourne, Vic 3004",1,1,1,0,https://i2.au.reastatic.net/{size}/fba3c8bc22881a79f6d1003b5b84a31ddc3fa40f0d8fdb89675e7868216d8b69/image.png,-37.8512797,144.9787594,"(144.9787594, -37.8512797)",500 ,rent,Apartment
"125 Turner, Abbotsford, Vic 3067",https://www.realestate.com.au/property-apartment-vic-abbotsford-435344923,"21/125 Turner, Abbotsford, Vic 3067",2,1,1,0,https://i2.au.reastatic.net/{size}/11e817eafcf63765278e289dacec867925521d242238f43694bcc3e793ae2de7/image.jpg,-37.7993152,144.9975063,"(144.9975063, -37.7993152)",650 ,rent,Apartment
"373 Toorak Road, South Yarra, Vic 3141",https://www.realestate.com.au/property-apartment-vic-south+yarra-435344567,"9/373 Toorak Road, South Yarra, Vic 3141",2,2,1,0,https://i2.au.reastatic.net/{size}/24a8cd93b025e1634c62525d4c9368924937ca699acb883f306ddf45d18d4f6e/image.jpg,-37.8382074,144.985679,"(144.985679, -37.8382074)",695 ,rent,Apartment
"9 Dryburgh Street, West Melbourne, Vic 3003",https://www.realestate.com.au/property-apartment-vic-west+melbourne-433000714,"605/9 Dryburgh Street, West Melbourne, Vic 3003",2,1,1,0,https://i2.au.reastatic.net/{size}/7be4f67e78a833ea3d6155c6a1b78ec613fb9a3cbd1b8c0be36744efb11cb796/image.jpg,-37.8069825,144.9425344,"(144.9425344, -37.8069825)",550 ,rent,Apartment
"19 Charnwood Road, St Kilda, Vic 3182",https://www.realestate.com.au/property-studio-vic-st+kilda-434971115,"5/19 Charnwood Road, St Kilda, Vic 3182",1,1,0,0,https://i2.au.reastatic.net/{size}/ecb6ad7e82b12a08813f4eeb4dc740ca10ea5a09eed82f5bce2b04242f384401/image.jpg,-37.8586311,144.9851953,"(144.9851953, -37.8586311)",230 ,rent,Studio
"6 Garden Avenue, East Melbourne, Vic 3002",https://www.realestate.com.au/property-apartment-vic-east+melbourne-435256095,"1/6 Garden Avenue, East Melbourne, Vic 3002",1,1,0,0,https://i2.au.reastatic.net/{size}/5029789f44ade788bf8795cd096a7bc0060259c2b8faefedb9befa76e2c51302/image.jpg,-37.8164121,144.9888029,"(144.9888029, -37.8164121)",450 ,rent,Apartment
